,temp_air,ghi,dni,dhi,lwr_u,wind_speed,rh,sp,svp_kPa,delta_kPa_C,avp_kPa,svpdeficit_kPa,net_sw_rad_MJ_m2,out_lw_rad_MJ_m2,net_radiation_MJ_m2,ET_mm,PV_AC_kW
2022-01-03 06:00:00-03:00,12.49,0.0,0.0,0.0,274.95,0.28,82.65,96543.0,1.4485294413123824,0.095136941340797,1.1968782685988115,0.25165117271357085,0.0,0.25462575946314614,-0.25462575946314614,-0.057633742457661036,-0.00033
2022-01-03 07:00:00-03:00,12.52,52.29,0.0,52.29,274.95,0.28,81.8,96610.0,1.4513861390947482,0.0953016713705516,1.1868853902167995,0.2645007488779487,0.17883179999999999,0.25560625353703126,-0.07677445353703127,-0.015382716712706475,0.010696174007747425
2022-01-03 08:00:00-03:00,13.5,55.85,0.0,55.85,286.35,0.14,78.45,96657.0,1.5474672427794578,0.10081806418679075,1.2135924441731147,0.33387479860634306,0.19100699999999998,0.2567712918277019,-0.06576429182770194,-0.014430380240104774,0.02126294004281638
2022-01-03 09:00:00-03:00,16.1,565.7,1098.76,65.5,283.25,0.76,64.2,96677.0,1.8299332444264929,0.11678685949476648,1.174214294764496,0.6557189496619968,1.934694,0.2698249332182584,1.6648690667817414,0.42587482342838917,0.3743462813605826
2022-01-03 10:00:00-03:00,18.3,783.75,1105.16,81.75,290.95,1.31,53.9,96648.0,2.1032450848446573,0.13192895965572127,1.1329372266787086,0.9703078581659488,2.680425,0.28209749558053004,2.39832750441947,0.6289846868062057,0.5637079493928023
2022-01-03 11:00:00-03:00,20.45,923.95,1019.68,121.85,303.9,1.52,45.9,96619.0,2.4042158480793114,0.14830235984844628,1.1027877926501433,1.3014280554291682,3.1599090000000003,0.2935460825740173,2.866362917425983,0.7811824939104791,0.6668376202041695
2022-01-03 12:00:00-03:00,22.36,955.35,914.94,132.65,320.25,1.72,40.75,96591.0,2.7025048043468143,0.1642586780204746,1.100566748250245,1.6019380560965693,3.2672969999999997,0.3014867975541682,2.9658102024458315,0.8393542945748648,0.685505370896457
2022-01-03 13:00:00-03:00,23.67,1059.3,916.43,174.75,327.4,2.0,37.65,96505.0,2.9253223626444713,0.1760210122098815,1.1007348428011952,1.8245875198432762,3.6228059999999997,0.30684786257676333,3.3159581374232365,0.95300043023662,0.7392916151703263
2022-01-03 14:00:00-03:00,24.07,1008.35,845.08,180.0,333.0,2.34,37.65,96457.0,2.996477551387005,0.17975107931771064,1.1275816300036723,1.8688959213833327,3.448557,0.3056601994371548,3.1428968005628453,0.9099075045283448,0.7061078550362114
2022-01-03 15:00:00-03:00,24.39,971.55,881.78,139.9,328.75,2.14,36.95,96467.0,3.0544842704630484,0.1827829122893769,1.1280583286845438,1.9264259417785046,3.322701,0.30692759751085524,3.0157734024891445,0.8853713029130101,0.6863985137360941
2022-01-03 16:00:00-03:00,24.79,799.8,769.4,140.75,324.3,2.62,34.05,96457.0,3.1283683236916726,0.18663321275633502,1.064570218748917,2.0637981049427556,2.7353159999999996,0.31542770706761997,2.4198882929323795,0.7376664711636849,0.5753313685897329
2022-01-03 17:00:00-03:00,24.25,595.05,642.58,128.3,328.95,2.62,33.95,96448.0,3.0289869127803684,0.18145122404479402,1.0276194447697387,2.0013674680106295,2.0350709999999994,0.3171981711099788,1.7178728288900207,0.5497290500199994,0.4283679319831532
2022-01-03 18:00:00-03:00,23.14,347.55,441.22,99.85,322.0,2.69,36.95,96486.0,2.83331544461132,0.17117940390637298,1.0461630967163684,1.7871523478949516,1.188621,0.3104803255239491,0.8781406744760508,0.3228759716788856,0.23676029595127077
2022-01-03 19:00:00-03:00,21.37,201.8,398.87,53.05,325.85,2.41,40.65,96438.0,2.544092162457651,0.1558162212582825,1.0333532318459886,1.5107389306116623,0.690156,0.3044856251052745,0.3856703748947255,0.1792392338480795,0.10684365798677892
2022-01-03 20:00:00-03:00,19.65,42.05,144.43,16.95,319.7,2.0,44.8,96524.0,2.2880974341531832,0.14201990706477832,1.02421277403329,1.2638846601198932,0.143811,0.2983875903612016,-0.1545765903612016,0.02671751249727665,-0.00033
2022-01-03 21:00:00-03:00,17.99,0.0,0.0,0.0,327.8,1.59,49.25,96591.0,2.062691795334557,0.12969961547734335,1.0150172430650863,1.0476745522694706,0.0,0.29261919637042316,-0.29261919637042316,-0.02416237093030465,-0.00033
2022-01-03 22:00:00-03:00,16.83,0.0,0.0,0.0,345.0,1.45,53.0,96677.0,1.9169519625555558,0.12163857144897887,1.0151502484925314,0.9018017140630243,0.0,0.28797241639773635,-0.28797241639773635,-0.02990313589496252,-0.00033
2022-01-03 23:00:00-03:00,15.75,0.0,0.0,0.0,336.45,1.38,58.15,96753.0,1.7894540260066465,0.11451959828211195,1.039803129048045,0.7496508969586015,0.0,0.2812805293913345,-0.2812805293913345,-0.03359213973746699,-0.00033
2022-01-04 00:00:00-03:00,14.84,0.0,0.0,0.0,315.85,1.1,62.35,96743.0,1.6878587487444097,0.10879891295977348,1.0516741800254046,0.6361845687190051,0.0,0.2766107562861974,-0.2766107562861974,-0.04161168332325984,-0.00033
2022-01-04 01:00:00-03:00,13.97,0.0,0.0,0.0,296.15,1.03,67.2,96781.0,1.5954953161735252,0.10355860894905729,1.0715458677670495,0.5239494484064757,0.0,0.27140679236939513,-0.27140679236939513,-0.04394876465163755,-0.00033
2022-01-04 02:00:00-03:00,13.24,0.0,0.0,0.0,292.9,0.97,71.25,96762.0,1.5214474857029727,0.09932870530763603,1.083472356976628,0.4379751287263447,0.0,0.2675509072730502,-0.2675509072730502,-0.045682890954338126,-0.00033
2022-01-04 03:00:00-03:00,12.76,0.0,0.0,0.0,298.5,0.97,74.6,96810.0,1.474418381690604,0.09662827731179109,1.0994183838847154,0.37499999780588866,0.0,0.26430103559197976,-0.26430103559197976,-0.046099018830816074,-0.00033
2022-01-04 04:00:00-03:00,12.77,0.0,0.0,0.0,313.9,0.9,77.8,96762.0,1.4753849828467724,0.0966838919957624,1.1474216650165916,0.32796331783018084,0.0,0.2600002642959419,-0.2600002642959419,-0.04790183004380681,-0.00033
2022-01-04 05:00:00-03:00,12.51,0.0,0.0,0.0,317.55,0.9,80.6,96772.0,1.450433357332691,0.09524673439535705,1.1686753443045932,0.2817580130280979,0.0,0.257171665043932,-0.257171665043932,-0.04826617410193091,-0.00033
2022-01-04 06:00:00-03:00,12.48,0.0,0.0,0.0,318.15,0.62,81.8,96829.0,1.447578306514945,0.09508208524002755,1.183769783933516,0.26380852258142906,0.0,0.25573615731197213,-0.25573615731197213,-0.05247938160443696,-0.00033
2022-01-04 07:00:00-03:00,12.48,22.2,0.0,22.2,322.4,0.62,82.65,96905.0,1.447578306514945,0.09508208524002755,1.1960919626402,0.251486343874745,0.07592399999999999,0.25465868998088564,-0.17873468998088565,-0.0351305662792069,-0.00033
2022-01-04 08:00:00-03:00,12.98,74.4,0.0,74.4,332.6,0.48,81.15,96953.0,1.4958125343911377,0.09785811133235878,1.2134996235958406,0.2823129107952971,0.254448,0.2549222251060237,-0.0004742251060236846,0.00485503554414491,0.03700110994983885
2022-01-04 09:00:00-03:00,14.18,282.45,387.86,106.7,323.95,0.55,73.1,96982.0,1.61737402226314,0.10480343424718488,1.181811993607207,0.4355620286559332,0.9659789999999999,0.26205162053293024,0.7039273794670697,0.1771739396176274,0.18745565397941996
2022-01-04 10:00:00-03:00,15.55,381.8,379.55,141.4,333.2,0.83,63.6,96982.0,1.766677230653218,0.11324088372528475,1.1229623380279605,0.6437148926252574,1.305756,0.2725405298287918,1.0332154701712082,0.266785370060845,0.2797754605938244
2022-01-04 11:00:00-03:00,16.82,463.0,287.58,237.2,352.65,0.9,53.2,96982.0,1.9157358641201394,0.12157097237996847,1.0183417390324152,0.8973941250877242,1.5834599999999999,0.28761205440945753,1.2958479455905423,0.3448666244016157,0.34702679469267433
2022-01-04 12:00:00-03:00,17.55,543.05,303.13,270.8,347.25,0.62,49.1,96982.0,2.006308015597214,0.12659025842993396,0.9842050132037155,1.0221030023934985,1.8572309999999996,0.29400904924591037,1.5632219507540892,0.42057754057694996,0.40828302590088866
2022-01-04 13:00:00-03:00,18.56,647.6,398.42,263.3,355.75,0.28,45.3,97001.0,2.137793874540633,0.13382368708516712,0.9674929507821363,1.170300923758497,2.214792,0.29986970625328,1.91492229374672,0.5251981788882545,0.4818903180639177
2022-01-04 14:00:00-03:00,19.39,636.5,355.94,287.7,351.3,0.07,41.95,96972.0,2.2514302901826335,0.1400272496860621,0.9435125757179803,1.3079177144646532,2.17683,0.3058701104499723,1.8709598895500275,0.5225183030048628,0.4709431092257109
